id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
703,Male,Loyal Customer,21,Business travel,Eco,1037,2,5,2,1,1,3,1,3,4,4,3,2,4,3,78,85.0,neutral or dissatisfied
704,Female,Loyal Customer,16,Personal Travel,Eco,3623,1,2,4,3,5,2,4,2,2,3,4,2,3,2,9,10.0,satisfied
705,Male,Loyal Customer,44,Business travel,Eco Plus,3174,4,4,3,2,4,3,1,3,3,4,4,4,2,5,2,0.0,satisfied
706,Male,Loyal Customer,53,Personal Travel,Eco Plus,4877,2,1,3,5,4,2,4,2,3,5,4,3,4,3,19,25.0,satisfied
707,Female,Loyal Customer,63,Business travel,Business,2887,4,1,3,4,3,3,2,3,3,3,4,4,2,2,24,28.0,neutral or dissatisfied
708,Female,Loyal Customer,56,Personal Travel,Eco,900,4,4,4,4,1,1,2,3,3,3,4,2,4,2,1,8.0,neutral or dissatisfied
709,Female,Loyal Customer,77,Business travel,Business,967,4,3,3,0,4,1,2,3,3,3,2,4,5,4,6,7.0,satisfied
710,Female,Loyal Customer,21,Business travel,Eco,3808,2,2,5,2,4,5,4,3,4,4,3,3,4,3,9,13.0,satisfied
711,Male,Loyal Customer,24,Business travel,Eco,4073,3,3,4,3,1,3,1,2,4,3,3,2,4,4,79,79.0,neutral or dissatisfied
712,Female,Loyal Customer,8,Business travel,Eco,3164,3,4,1,2,4,4,3,2,3,3,4,2,2,4,12,15.0,satisfied
713,Male,Loyal Customer,49,Business travel,Business,955,3,3,4,2,5,3,3,3,4,5,3,4,4,3,6,3.0,satisfied
714,Female,Loyal Customer,32,Business travel,Eco,4341,3,4,4,3,5,3,3,4,2,4,2,3,3,3,7,7.0,satisfied
715,Female,Loyal Customer,77,Personal Travel,Business,4076,4,2,3,3,4,2,4,3,3,3,2,4,5,3,6,6.0,satisfied
716,Female,Loyal Customer,44,Business travel,Business,636,4,4,4,5,3,4,3,4,3,4,3,4,4,4,1,6.0,satisfied
717,Male,Loyal Customer,48,Personal Travel,Eco,2294,3,3,1,2,4,4,3,3,3,3,3,3,3,1,18,16.0,neutral or dissatisfied
718,Female,disloyal Customer,11,Personal Travel,Business,788,3,4,2,4,4,4,2,2,2,2,2,0,3,3,0,7.0,neutral or dissatisfied
719,Female,disloyal Customer,17,Business travel,Eco Plus,797,2,2,3,5,3,3,2,4,1,2,3,2,4,3,13,4.0,neutral or dissatisfied
720,Female,Loyal Customer,71,Personal Travel,Business,3745,3,3,2,2,3,4,2,3,3,3,3,1,3,3,1,0.0,satisfied
721,Female,disloyal Customer,40,Business travel,Eco,2224,3,3,3,5,1,2,2,4,2,3,2,1,1,3,6,0.0,satisfied
722,Male,Loyal Customer,7,Business travel,Business,2099,3,4,4,3,4,5,5,5,5,3,2,3,4,4,1,1.0,satisfied
723,Female,Loyal Customer,8,Business travel,Eco,3859,1,3,2,0,2,1,3,3,4,3,5,3,3,4,10,17.0,neutral or dissatisfied
724,Male,Loyal Customer,26,Personal Travel,Eco,370,3,3,1,4,2,2,3,4,4,2,1,2,5,4,27,21.0,neutral or dissatisfied
725,Male,Loyal Customer,67,Business travel,Eco,2263,2,3,1,1,2,3,1,4,1,2,3,4,4,3,11,1.0,neutral or dissatisfied
726,Male,Loyal Customer,27,Business travel,Business,3959,3,2,5,5,3,2,5,3,4,3,5,4,4,4,5,0.0,satisfied
727,Male,Loyal Customer,74,Business travel,Eco Plus,3016,5,5,1,4,2,1,5,3,2,3,3,5,5,0,33,38.0,satisfied
728,Male,Loyal Customer,18,Personal Travel,Business,2494,4,3,4,2,4,3,2,2,4,4,4,4,3,4,4,2.0,satisfied
729,Male,Loyal Customer,28,Business travel,Business,2375,5,1,5,3,4,3,2,5,4,3,1,4,4,2,3,2.0,satisfied
730,Female,Loyal Customer,26,Business travel,Business,2893,2,2,2,4,5,3,5,2,2,5,1,3,3,4,15,22.0,satisfied
731,Male,Loyal Customer,7,Business travel,Eco,1317,3,5,2,2,2,3,3,2,2,2,3,2,1,4,37,35.0,neutral or dissatisfied
732,Male,Loyal Customer,36,Business travel,Business,2197,5,2,3,5,2,4,5,5,5,4,2,3,3,4,18,,satisfied
733,Male,Loyal Customer,30,Personal Travel,Eco,3123,1,4,3,4,5,3,4,2,1,2,4,4,2,3,5,5.0,satisfied
734,Female,disloyal Customer,20,Personal Travel,Eco,3167,3,2,2,1,2,5,1,5,3,2,3,3,2,2,123,117.0,neutral or dissatisfied
735,Female,disloyal Customer,42,Business travel,Business,3638,4,1,3,3,3,3,5,5,2,2,5,3,2,3,7,12.0,satisfied
736,Male,Loyal Customer,75,Business travel,Eco Plus,778,3,4,3,4,2,5,3,2,4,3,4,4,1,3,16,20.0,neutral or dissatisfied
737,Female,disloyal Customer,30,Business travel,Business,2933,3,3,3,2,2,4,3,4,3,2,3,3,4,3,3,6.0,satisfied
738,Male,Loyal Customer,66,Business travel,Eco,3888,2,5,3,4,4,4,3,3,3,3,4,3,2,3,21,38.0,satisfied
739,Male,disloyal Customer,61,Business travel,Business,4699,4,4,5,4,3,2,3,4,4,4,3,2,3,5,12,18.0,satisfied
740,Female,Loyal Customer,30,Business travel,Eco,1925,1,4,4,4,4,3,1,4,5,4,2,5,4,2,7,0.0,satisfied
741,Male,Loyal Customer,30,Business travel,Business,4094,3,4,5,3,1,4,5,1,3,5,4,4,3,2,1,2.0,satisfied
742,Female,Loyal Customer,60,Personal Travel,Business,3262,4,4,3,2,3,3,3,4,4,4,4,2,4,3,6,11.0,satisfied
743,Female,Loyal Customer,32,Business travel,Business,543,3,1,1,4,3,4,3,4,3,2,2,2,4,3,3,5.0,satisfied
744,Male,Loyal Customer,72,Personal Travel,Business,3940,1,3,5,5,3,2,4,3,5,3,5,3,3,3,8,2.0,satisfied
745,Male,Loyal Customer,44,Business travel,Business,530,3,4,3,4,3,5,5,4,5,3,2,4,4,4,12,6.0,satisfied
746,Female,Loyal Customer,71,Business travel,Business,1995,3,3,4,4,4,3,3,5,4,3,5,3,4,3,4,0.0,satisfied
747,Male,Loyal Customer,57,Personal Travel,Eco,1003,2,3,4,3,3,3,3,2,4,2,3,1,3,2,20,22.0,neutral or dissatisfied
748,Male,Loyal Customer,41,Business travel,Eco,3702,3,4,2,2,3,2,4,1,4,2,1,1,4,3,24,20.0,neutral or dissatisfied
749,Male,Loyal Customer,49,Business travel,Eco,395,3,4,4,4,5,5,3,5,2,3,5,1,4,5,3,0.0,satisfied
750,Female,Loyal Customer,35,Business travel,Eco,4846,4,2,3,2,2,4,3,2,3,4,4,3,2,3,0,0.0,satisfied
751,Female,Loyal Customer,43,Business travel,Eco,4873,3,4,3,4,2,4,0,1,4,2,4,3,4,3,2,0.0,satisfied
752,Male,Loyal Customer,64,Personal Travel,Eco,1456,3,4,2,3,5,5,2,3,1,3,0,2,2,4,7,9.0,neutral or dissatisfied
753,Female,Loyal Customer,60,Personal Travel,Eco,2895,2,2,2,1,5,3,3,0,4,1,1,5,4,2,13,13.0,neutral or dissatisfied
754,Female,Loyal Customer,45,Business travel,Business,1342,3,3,1,3,1,4,4,3,4,2,4,3,2,3,10,14.0,neutral or dissatisfied
755,Female,disloyal Customer,48,Business travel,Eco,1207,4,3,5,2,5,3,4,4,2,3,4,1,3,4,10,6.0,neutral or dissatisfied
756,Female,Loyal Customer,34,Business travel,Business,3005,3,5,5,1,4,3,2,3,5,2,1,3,4,4,3,4.0,satisfied
757,Female,Loyal Customer,35,Business travel,Eco,1132,4,3,3,1,2,3,2,3,3,3,4,3,4,4,2,3.0,neutral or dissatisfied
758,Male,disloyal Customer,49,Business travel,Eco,4264,3,3,5,2,3,2,4,3,2,1,3,2,3,0,0,3.0,neutral or dissatisfied
759,Male,Loyal Customer,9,Business travel,Business,2502,2,4,5,2,3,3,5,4,2,5,2,3,3,3,6,6.0,satisfied
760,Male,Loyal Customer,16,Business travel,Eco,3548,2,5,4,4,3,1,2,2,2,4,3,4,2,1,124,,neutral or dissatisfied
761,Female,Loyal Customer,65,Business travel,Business,4539,5,3,3,4,3,3,4,3,2,5,5,3,3,5,129,133.0,neutral or dissatisfied
762,Female,Loyal Customer,20,Business travel,Business,4101,3,1,4,5,2,1,3,4,3,2,2,4,3,4,11,16.0,satisfied
763,Male,Loyal Customer,53,Business travel,Business,4489,1,4,4,3,2,5,3,3,3,4,1,4,4,3,4,4.0,satisfied
764,Female,Loyal Customer,48,Business travel,Eco,627,2,3,4,2,3,4,1,3,4,2,3,1,4,2,9,7.0,neutral or dissatisfied
765,Male,Loyal Customer,38,Personal Travel,Eco,3603,2,2,3,3,2,2,2,5,1,1,0,4,1,3,11,21.0,neutral or dissatisfied
766,Male,disloyal Customer,38,Personal Travel,Eco,1609,2,4,3,3,1,2,2,3,2,2,3,4,5,5,25,29.0,neutral or dissatisfied
767,Male,Loyal Customer,48,Business travel,Business,186,2,5,4,3,4,5,5,4,3,4,1,3,4,3,61,64.0,neutral or dissatisfied
768,Female,Loyal Customer,38,Business travel,Eco,936,5,3,3,1,3,5,3,1,5,3,2,3,3,2,5,6.0,neutral or dissatisfied
769,Female,Loyal Customer,32,Personal Travel,Eco,3064,4,1,3,3,3,4,3,5,1,2,3,2,4,2,4,1.0,satisfied
770,Male,Loyal Customer,7,Personal Travel,Business,4466,3,5,5,4,3,5,2,4,1,3,1,5,2,5,3,8.0,satisfied
771,Male,Loyal Customer,62,Personal Travel,Eco,4792,2,3,5,4,2,3,4,3,4,2,2,4,2,3,6,4.0,satisfied
772,Male,Loyal Customer,8,Business travel,Business,1330,3,4,4,4,5,1,5,5,3,3,5,4,2,3,34,39.0,satisfied
773,Male,Loyal Customer,36,Personal Travel,Business,1691,5,3,3,4,4,3,4,2,2,5,3,5,3,2,22,13.0,neutral or dissatisfied
774,Female,Loyal Customer,77,Business travel,Business,1870,2,4,4,4,5,4,4,2,4,3,3,4,4,2,8,14.0,satisfied
775,Female,Loyal Customer,58,Personal Travel,Eco,947,1,4,2,3,4,4,3,4,4,5,4,4,3,4,6,7.0,neutral or dissatisfied
776,Male,Loyal Customer,15,Personal Travel,Business,2849,4,4,3,3,4,3,4,5,4,2,3,0,3,2,6,8.0,satisfied
777,Male,Loyal Customer,28,Business travel,Business,4333,4,3,5,3,5,2,2,1,4,4,4,0,3,2,3,14.0,satisfied
778,Female,Loyal Customer,40,Personal Travel,Business,407,5,2,5,2,3,1,2,2,3,4,4,3,5,3,12,12.0,neutral or dissatisfied
779,Female,Loyal Customer,55,Business travel,Business,3896,3,3,5,3,3,4,3,2,4,2,2,3,5,4,3,3.0,satisfied
780,Male,Loyal Customer,7,Personal Travel,Business,3228,3,4,3,5,3,3,3,4,4,4,4,4,2,3,1,0.0,satisfied
781,Male,Loyal Customer,79,Business travel,Business,3461,5,2,1,3,3,2,4,3,5,2,1,3,2,3,4,12.0,satisfied
782,Male,disloyal Customer,59,Personal Travel,Eco,2454,4,2,4,4,5,3,4,3,4,5,0,3,3,2,8,2.0,neutral or dissatisfied
783,Female,disloyal Customer,46,Business travel,Business,2635,3,4,4,4,2,4,4,2,2,5,4,3,3,3,15,14.0,neutral or dissatisfied
784,Female,Loyal Customer,51,Personal Travel,Eco,1210,3,5,4,3,1,3,1,3,5,4,3,2,4,3,8,13.0,neutral or dissatisfied
785,Female,disloyal Customer,74,Business travel,Eco,4416,2,3,1,3,2,4,5,1,2,3,4,1,2,2,60,70.0,neutral or dissatisfied
786,Male,Loyal Customer,15,Business travel,Business,2562,4,4,3,4,4,4,5,4,2,3,3,3,5,4,14,18.0,satisfied
787,Male,disloyal Customer,28,Business travel,Business,3179,3,3,5,2,3,3,5,5,5,3,4,2,4,5,17,14.0,satisfied
788,Female,Loyal Customer,24,Personal Travel,Eco,2831,4,1,2,4,2,3,2,0,4,4,4,2,2,4,1,0.0,neutral or dissatisfied
789,Female,disloyal Customer,49,Business travel,Business,3400,2,3,4,4,1,3,3,5,1,4,1,1,2,2,15,15.0,satisfied
790,Male,disloyal Customer,45,Business travel,Business,1636,4,5,2,3,2,3,2,3,3,5,3,3,3,2,12,15.0,satisfied
791,Female,Loyal Customer,79,Business travel,Business,3623,2,2,4,2,2,5,4,4,3,5,4,3,3,4,65,59.0,satisfied
792,Female,disloyal Customer,12,Personal Travel,Eco,4588,5,2,3,5,4,4,3,2,2,3,4,1,4,3,19,17.0,satisfied
793,Male,Loyal Customer,54,Business travel,Eco,648,2,2,4,2,1,4,2,2,5,3,1,3,3,3,14,13.0,neutral or dissatisfied
794,Female,Loyal Customer,13,Business travel,Eco Plus,1734,1,2,3,3,2,5,2,5,3,3,3,2,0,5,70,80.0,neutral or dissatisfied
795,Male,Loyal Customer,75,Business travel,Eco,3316,5,4,4,1,3,4,3,2,2,2,4,3,3,5,17,24.0,satisfied
796,Male,Loyal Customer,22,Business travel,Business,3199,3,4,5,5,2,3,3,5,5,3,4,2,1,4,6,2.0,satisfied
797,Male,Loyal Customer,7,Business travel,Business,3813,3,4,4,1,4,4,4,4,3,3,5,4,2,2,11,14.0,satisfied
798,Male,Loyal Customer,43,Business travel,Business,3309,1,4,4,4,4,5,5,3,5,4,4,2,2,3,0,5.0,satisfied
799,Male,disloyal Customer,43,Personal Travel,Business,230,3,1,4,3,5,3,4,5,3,3,2,2,3,5,7,0.0,satisfied
800,Male,Loyal Customer,70,Personal Travel,Business,2352,5,1,4,3,3,3,4,3,4,4,4,3,1,5,11,6.0,satisfied
801,Male,Loyal Customer,68,Business travel,Business,4431,4,4,3,2,1,5,4,5,5,4,4,4,2,3,0,,satisfied
802,Female,disloyal Customer,78,Business travel,Business,2188,1,1,2,3,3,4,2,5,2,4,2,4,5,4,6,11.0,satisfied
803,Male,disloyal Customer,67,Personal Travel,Business,1875,2,4,4,5,3,4,3,2,4,4,5,4,3,4,9,21.0,neutral or dissatisfied
804,Male,disloyal Customer,39,Business travel,Business,2507,4,3,3,3,5,2,4,3,3,4,5,2,3,4,5,8.0,satisfied
805,Female,Loyal Customer,72,Personal Travel,Eco Plus,3594,4,2,2,1,3,4,4,3,3,3,2,3,2,4,5,6.0,satisfied
806,Female,disloyal Customer,36,Business travel,Eco,428,2,0,3,1,3,3,4,3,1,1,1,2,2,0,23,19.0,neutral or dissatisfied
807,Female,Loyal Customer,26,Business travel,Eco Plus,2158,3,3,1,3,3,3,3,4,3,3,2,4,5,4,40,54.0,neutral or dissatisfied
808,Male,Loyal Customer,66,Business travel,Business,476,2,4,3,2,4,2,5,1,5,2,2,5,3,3,1,,satisfied
809,Female,Loyal Customer,30,Personal Travel,Business,3056,2,2,2,3,3,3,1,3,4,5,1,3,1,4,28,32.0,satisfied
810,Male,Loyal Customer,10,Business travel,Business,2689,0,2,5,3,1,2,4,4,3,4,2,3,2,2,5,17.0,satisfied
811,Male,Loyal Customer,43,Business travel,Business,1238,4,3,4,2,0,5,2,4,4,4,2,5,4,2,3,0.0,satisfied
812,Male,Loyal Customer,10,Business travel,Business,225,3,1,3,5,4,3,5,3,4,4,5,5,5,3,121,120.0,neutral or dissatisfied
813,Male,Loyal Customer,24,Personal Travel,Eco Plus,2306,3,4,2,3,3,4,4,2,4,5,1,1,1,4,16,23.0,neutral or dissatisfied
814,Female,Loyal Customer,72,Personal Travel,Eco Plus,343,0,4,0,4,3,2,1,3,4,2,3,4,2,2,15,11.0,neutral or dissatisfied
815,Female,Loyal Customer,54,Business travel,Business,4379,3,1,2,3,3,4,2,4,5,5,3,3,2,3,1,0.0,satisfied
816,Male,Loyal Customer,39,Business travel,Business,3181,4,2,1,3,1,1,2,2,3,5,4,1,1,5,38,43.0,satisfied
817,Male,Loyal Customer,64,Personal Travel,Business,2186,1,3,2,2,3,2,4,3,2,3,3,5,4,5,120,124.0,neutral or dissatisfied
818,Male,Loyal Customer,79,Business travel,Business,3160,3,3,3,3,3,5,4,3,2,2,3,2,4,3,128,124.0,neutral or dissatisfied
819,Female,Loyal Customer,34,Business travel,Business,1067,3,2,3,1,2,3,4,2,3,3,4,4,3,3,12,12.0,satisfied
820,Male,Loyal Customer,41,Business travel,Business,1427,3,2,2,1,4,3,0,2,1,5,2,2,3,3,26,26.0,neutral or dissatisfied
821,Male,disloyal Customer,16,Business travel,Business,1440,5,2,3,2,3,1,3,5,2,4,1,2,4,4,3,1.0,neutral or dissatisfied
822,Female,Loyal Customer,71,Business travel,Business,2918,4,4,2,2,4,5,4,4,2,4,3,3,4,4,3,4.0,satisfied
823,Female,Loyal Customer,48,Personal Travel,Business,1806,5,4,4,2,5,3,5,4,2,2,2,1,4,3,18,30.0,satisfied
824,Male,Loyal Customer,15,Business travel,Business,2369,2,4,4,3,4,5,3,3,2,3,3,5,4,2,6,6.0,satisfied
825,Female,Loyal Customer,66,Business travel,Business,987,4,4,4,3,3,3,4,4,5,4,2,4,5,2,2,20.0,satisfied
826,Female,disloyal Customer,21,Personal Travel,Eco Plus,1263,5,2,4,4,2,1,4,4,4,3,2,2,1,3,0,0.0,satisfied
827,Male,Loyal Customer,63,Business travel,Business,2904,2,3,2,4,3,5,5,5,3,3,5,3,2,5,136,131.0,satisfied
828,Female,Loyal Customer,75,Business travel,Eco,1338,5,3,3,3,1,3,1,3,3,4,5,2,4,2,0,16.0,satisfied
829,Male,Loyal Customer,28,Business travel,Eco,278,3,0,2,5,2,3,3,2,2,3,2,3,4,2,72,66.0,neutral or dissatisfied
830,Female,Loyal Customer,70,Personal Travel,Eco Plus,1136,1,3,2,2,3,2,1,4,3,3,3,1,5,3,6,0.0,neutral or dissatisfied
831,Male,Loyal Customer,47,Personal Travel,Eco,2535,1,3,1,4,1,4,3,0,4,3,3,1,2,2,12,18.0,neutral or dissatisfied
832,Male,Loyal Customer,77,Personal Travel,Eco,3445,2,2,5,4,5,1,1,2,3,3,3,3,4,5,17,37.0,satisfied
833,Male,Loyal Customer,62,Personal Travel,Eco,1340,3,4,4,3,4,4,3,3,2,4,3,5,3,3,12,9.0,satisfied
834,Female,Loyal Customer,29,Business travel,Business,4058,5,4,5,3,3,2,4,4,5,4,4,2,4,4,67,68.0,satisfied
835,Male,Loyal Customer,31,Business travel,Business,2915,3,3,4,3,0,4,3,4,4,4,2,2,1,2,28,22.0,neutral or dissatisfied
836,Female,disloyal Customer,12,Personal Travel,Eco Plus,1393,4,1,2,4,1,5,4,3,4,5,4,3,3,3,0,0.0,satisfied
837,Male,disloyal Customer,40,Business travel,Eco,1982,3,2,4,4,5,3,3,3,3,2,3,2,3,4,0,0.0,neutral or dissatisfied
838,Male,Loyal Customer,69,Business travel,Eco Plus,4055,3,3,5,3,2,3,3,3,3,2,5,3,2,3,7,14.0,satisfied
839,Female,Loyal Customer,15,Business travel,Eco,657,3,2,4,1,4,2,2,4,3,0,5,3,3,5,3,13.0,neutral or dissatisfied
840,Male,Loyal Customer,66,Business travel,Eco,4510,4,3,3,4,2,3,3,3,4,3,3,3,2,4,6,0.0,neutral or dissatisfied
841,Male,Loyal Customer,55,Personal Travel,Eco,1100,3,2,3,3,2,2,2,3,2,5,3,1,3,2,4,14.0,neutral or dissatisfied
842,Female,Loyal Customer,57,Business travel,Eco,3733,2,3,4,2,2,3,2,2,4,4,2,2,2,3,3,0.0,satisfied
843,Male,disloyal Customer,66,Business travel,Eco,3924,3,5,3,3,1,2,3,3,1,2,3,3,2,3,30,32.0,neutral or dissatisfied
844,Male,disloyal Customer,76,Personal Travel,Eco,3653,2,3,3,3,3,3,5,3,2,2,4,2,3,4,2,9.0,neutral or dissatisfied
845,Male,Loyal Customer,43,Business travel,Eco,2373,2,4,2,2,3,2,3,4,5,0,3,3,3,0,1,0.0,neutral or dissatisfied
846,Male,Loyal Customer,37,Business travel,Eco,690,4,4,3,3,2,3,2,3,2,2,2,4,2,2,3,0.0,neutral or dissatisfied
847,Female,Loyal Customer,47,Business travel,Eco,408,3,3,2,5,1,3,1,3,2,2,2,3,2,3,6,0.0,neutral or dissatisfied
848,Female,Loyal Customer,68,Personal Travel,Business,626,5,3,3,3,3,5,4,2,3,5,4,2,3,1,3,10.0,neutral or dissatisfied
849,Male,Loyal Customer,64,Personal Travel,Business,418,4,5,3,3,4,5,2,5,3,4,2,5,4,5,1,9.0,satisfied
850,Female,Loyal Customer,20,Personal Travel,Eco Plus,3261,2,4,2,3,5,3,3,3,3,3,2,4,4,3,3,0.0,neutral or dissatisfied
851,Male,Loyal Customer,42,Personal Travel,Eco,3121,2,4,3,3,4,2,4,3,3,2,3,3,2,3,28,39.0,neutral or dissatisfied
852,Female,Loyal Customer,42,Business travel,Business,886,2,3,4,3,4,4,4,5,5,2,4,3,2,2,76,71.0,neutral or dissatisfied
853,Male,Loyal Customer,14,Personal Travel,Business,1113,4,3,5,3,2,2,2,5,5,2,3,4,3,5,3,0.0,neutral or dissatisfied
854,Male,disloyal Customer,32,Personal Travel,Eco,3353,2,3,3,3,4,2,3,1,3,2,2,3,3,1,11,14.0,neutral or dissatisfied
855,Male,Loyal Customer,42,Business travel,Eco,4067,0,5,2,1,3,3,4,4,3,4,3,4,1,4,23,6.0,satisfied
856,Male,Loyal Customer,54,Business travel,Eco,3413,1,3,3,4,3,2,3,4,2,1,2,3,3,5,42,44.0,neutral or dissatisfied
857,Male,Loyal Customer,34,Personal Travel,Eco,2820,2,4,4,3,4,2,3,1,4,3,4,2,2,5,0,0.0,neutral or dissatisfied
858,Male,Loyal Customer,74,Personal Travel,Business,4605,4,5,3,4,3,3,4,5,4,5,4,1,3,4,2,6.0,satisfied
859,Female,Loyal Customer,68,Personal Travel,Business,1776,3,4,3,3,4,5,4,3,4,3,2,5,3,3,34,34.0,neutral or dissatisfied
860,Male,Loyal Customer,57,Personal Travel,Business,3730,4,4,4,3,2,4,4,4,3,4,3,5,3,4,25,33.0,neutral or dissatisfied
861,Female,disloyal Customer,48,Business travel,Eco,2162,2,5,3,2,2,1,4,2,3,3,3,2,2,3,4,0.0,satisfied
862,Male,Loyal Customer,35,Business travel,Business,2078,3,2,4,3,4,4,4,5,4,2,1,3,5,4,2,6.0,satisfied
863,Female,disloyal Customer,16,Business travel,Eco,4732,5,3,3,3,3,3,2,3,2,2,4,4,2,2,20,18.0,neutral or dissatisfied
864,Female,Loyal Customer,45,Business travel,Eco,1765,3,2,2,4,3,3,3,4,4,2,3,4,5,4,1,0.0,satisfied
865,Female,Loyal Customer,7,Personal Travel,Eco,4666,3,1,3,2,2,4,3,3,1,3,4,3,2,2,11,6.0,neutral or dissatisfied
866,Male,Loyal Customer,45,Business travel,Eco,1683,2,3,0,4,4,2,4,2,2,5,1,2,2,4,28,29.0,neutral or dissatisfied
867,Male,Loyal Customer,27,Business travel,Business,4429,3,3,5,4,1,3,3,3,2,3,3,3,4,2,2,2.0,satisfied
868,Female,Loyal Customer,71,Business travel,Eco,4192,3,4,3,2,4,3,2,1,3,2,3,3,2,2,1,0.0,neutral or dissatisfied
869,Male,Loyal Customer,21,Business travel,Business,340,4,2,5,1,3,3,4,4,3,2,2,3,3,3,12,6.0,neutral or dissatisfied
870,Female,Loyal Customer,10,Business travel,Business,3876,3,3,5,4,3,2,3,3,3,5,3,5,1,3,11,11.0,satisfied
871,Male,disloyal Customer,66,Business travel,Business,2855,3,4,2,4,3,3,4,2,4,3,4,3,3,3,120,132.0,neutral or dissatisfied
872,Female,disloyal Customer,67,Business travel,Business,580,3,1,3,4,2,3,3,3,3,5,2,3,5,3,5,4.0,neutral or dissatisfied
873,Female,disloyal Customer,26,Business travel,Eco,1095,2,3,2,3,3,0,2,2,2,3,3,3,3,2,31,22.0,neutral or dissatisfied
874,Male,Loyal Customer,16,Personal Travel,Eco,2413,3,4,2,2,3,2,2,2,4,5,5,2,3,2,3,24.0,neutral or dissatisfied
875,Female,Loyal Customer,40,Business travel,Business,2134,4,3,2,3,4,3,3,3,4,3,1,4,3,3,9,0.0,satisfied
876,Male,Loyal Customer,54,Business travel,Business,4043,4,3,2,4,3,4,5,4,1,3,3,1,2,4,5,19.0,satisfied
877,Female,Loyal Customer,39,Business travel,Eco,3754,2,4,2,1,3,4,2,2,2,3,2,3,5,4,28,29.0,neutral or dissatisfied
878,Female,Loyal Customer,67,Business travel,Eco,4135,3,1,4,4,3,3,2,2,4,4,4,1,1,2,8,6.0,neutral or dissatisfied
879,Male,Loyal Customer,16,Business travel,Business,2786,2,2,2,4,3,4,4,4,4,4,3,4,4,4,7,4.0,satisfied
880,Male,Loyal Customer,60,Personal Travel,Eco,2179,2,2,5,4,1,1,4,3,4,3,4,4,3,3,26,25.0,neutral or dissatisfied
881,Male,Loyal Customer,71,Personal Travel,Eco,2645,4,4,3,4,2,4,2,4,2,3,4,4,3,4,12,11.0,neutral or dissatisfied
882,Female,disloyal Customer,7,Business travel,Eco,3097,2,1,4,3,2,3,3,3,3,3,3,2,5,5,5,19.0,neutral or dissatisfied
883,Male,Loyal Customer,11,Business travel,Business,188,3,4,2,3,3,2,3,4,1,4,4,2,2,1,119,110.0,neutral or dissatisfied
884,Female,Loyal Customer,21,Personal Travel,Eco,3502,2,3,4,1,2,4,3,0,3,3,3,3,3,1,29,28.0,neutral or dissatisfied
885,Female,Loyal Customer,34,Personal Travel,Eco,145,2,4,1,4,3,3,2,2,5,3,2,2,1,3,3,,neutral or dissatisfied
886,Male,disloyal Customer,29,Personal Travel,Eco,3161,1,4,1,4,4,5,1,3,4,1,3,2,5,2,0,0.0,neutral or dissatisfied
887,Male,Loyal Customer,23,Business travel,Eco,4377,3,2,4,3,2,5,3,3,3,2,3,2,3,2,1,15.0,neutral or dissatisfied
888,Female,Loyal Customer,19,Business travel,Eco Plus,3028,3,3,3,4,3,4,4,3,3,3,2,4,2,1,62,61.0,neutral or dissatisfied
889,Female,Loyal Customer,20,Business travel,Business,293,4,3,3,4,3,0,2,4,5,2,2,5,3,4,15,8.0,satisfied
890,Male,disloyal Customer,17,Business travel,Eco Plus,4502,3,3,2,2,3,3,4,2,3,4,2,3,3,3,5,21.0,neutral or dissatisfied
891,Male,Loyal Customer,34,Business travel,Eco,1120,3,2,2,5,4,4,4,3,3,2,3,2,5,4,64,60.0,neutral or dissatisfied
892,Male,Loyal Customer,48,Business travel,Eco,4698,1,4,1,2,1,4,4,3,4,2,3,4,3,3,9,9.0,satisfied
893,Male,Loyal Customer,67,Business travel,Business,1067,2,3,3,1,3,2,2,4,3,4,1,4,3,3,1,0.0,satisfied
894,Male,Loyal Customer,70,Personal Travel,Business,3275,1,3,4,3,3,3,4,4,4,2,4,4,4,5,63,61.0,satisfied
895,Female,Loyal Customer,37,Personal Travel,Eco,583,2,4,3,3,3,4,2,2,1,4,4,4,3,3,7,12.0,neutral or dissatisfied
896,Female,disloyal Customer,79,Business travel,Eco,835,2,4,3,3,2,1,1,3,2,1,3,5,3,3,7,8.0,neutral or dissatisfied
897,Female,Loyal Customer,16,Personal Travel,Business,1421,3,3,1,3,2,2,3,4,4,4,4,0,4,2,11,8.0,satisfied
898,Female,Loyal Customer,14,Business travel,Eco,2668,5,3,3,2,3,5,3,3,3,2,3,3,1,3,4,5.0,satisfied
899,Male,Loyal Customer,27,Personal Travel,Business,1461,4,5,3,1,3,3,3,4,3,4,1,2,3,3,5,16.0,neutral or dissatisfied
900,Male,Loyal Customer,65,Business travel,Eco Plus,3067,5,2,2,4,4,1,4,3,2,3,3,4,2,3,0,0.0,satisfied
901,Male,Loyal Customer,56,Business travel,Eco,2924,4,4,2,3,4,2,2,2,4,2,3,3,2,1,12,17.0,neutral or dissatisfied
902,Female,Loyal Customer,75,Business travel,Business,2599,3,4,4,3,3,4,4,3,3,1,3,4,4,3,8,0.0,satisfied
